Word;Translation;Sentence references
sono;I am;['1_10', '2_43', '2_65']
io;I;['2_34', '2_43']
il suo;his;[]
che;that;['0_3', '0_21', '0_37', '0_58', '0_68', '1_0', '1_1', '1_11', '1_12', '1_18', '2_15', '2_18', '2_26', '2_45', '2_47', '2_49', '2_50', '2_54', '2_56', '2_59', '2_63']
lui;he;['1_11']
era;he/she was;['0_0', '0_1', '0_58', '0_65', '0_68', '2_0', '2_26', '2_66']
per;for;['0_1', '0_4', '0_6', '0_21', '0_22', '0_39', '0_40', '1_1', '1_5', '2_20', '2_35', '2_46', '2_47', '2_48', '2_50', '2_60']
su;on;[]
come;as/like;[]
con;with;['0_0', '0_8', '0_39', '0_44', '0_67', '1_9', '1_16', '2_25', '2_26', '2_28', '2_49', '2_51', '2_61']
loro;they;['0_68', '1_1', '1_5']
essere;to be;[]
a;at;['0_1', '0_2', '0_18', '0_19', '0_20', '0_25', '0_36', '0_37', '0_38', '0_54', '0_57', '0_58', '0_67', '0_69', '1_3', '1_4', '2_9', '2_20', '2_21', '2_22', '2_24', '2_53', '2_64', '2_65', '2_66', '2_68']
uno;one;[]
avere;to have;['0_21', '0_39']
questo;this;['2_25', '2_52']
da;from;['1_7', '2_19', '2_21', '2_26', '2_35']
di;by;['0_2', '0_3', '0_5', '0_6', '0_9', '0_20', '0_21', '0_23', '0_24', '0_27', '0_38', '0_39', '0_41', '0_42', '0_45', '0_58', '0_59', '0_60', '0_62', '0_63', '0_65', '0_67', '0_68', '1_0', '1_1', '1_2', '1_4', '1_5', '1_9', '1_15', '1_16', '1_18', '1_20', '2_0', '2_3', '2_8', '2_18', '2_22', '2_25', '2_37', '2_39', '2_44', '2_53', '2_59', '2_65', '2_67', '2_68']
caldo;hot;[]
parola;word;[]
ma;but;['0_1', '2_3']
cosa;what;[]
alcuni;some;['0_40']
è;is;['1_11', '2_2', '2_28', '2_33', '2_36', '2_64', '2_65']
quello;that;[]
voi;you (pl);[]
o;or;[]
aveva;had;['0_4', '0_5', '0_22', '0_23', '0_41', '0_60', '2_39']
il;the;['0_1', '0_4', '0_6', '0_9', '0_13', '0_18', '0_19', '0_22', '0_24', '0_25', '0_27', '0_31', '0_36', '0_37', '0_40', '0_42', '0_45', '0_49', '0_54', '0_60', '0_63', '0_66', '1_1', '1_6', '1_7', '1_8', '1_9', '1_11', '1_12', '1_13', '1_15', '1_16', '1_18', '1_20', '1_21', '1_23', '1_25', '1_27', '2_6', '2_9', '2_12', '2_20', '2_21', '2_26', '2_27', '2_35', '2_39', '2_41', '2_46', '2_48', '2_50', '2_56', '2_58', '2_59', '2_60', '2_62', '2_63', '2_64', '2_65', '2_68']
di;of;['0_2', '0_3', '0_5', '0_6', '0_9', '0_20', '0_21', '0_23', '0_24', '0_27', '0_38', '0_39', '0_41', '0_42', '0_45', '0_58', '0_59', '0_60', '0_62', '0_63', '0_65', '0_67', '0_68', '1_0', '1_1', '1_2', '1_4', '1_5', '1_9', '1_15', '1_16', '1_18', '1_20', '2_0', '2_3', '2_8', '2_18', '2_22', '2_25', '2_37', '2_39', '2_44', '2_53', '2_59', '2_65', '2_67', '2_68']
a;to;['0_1', '0_2', '0_18', '0_19', '0_20', '0_25', '0_36', '0_37', '0_38', '0_54', '0_57', '0_58', '0_67', '0_69', '1_3', '1_4', '2_9', '2_20', '2_21', '2_22', '2_24', '2_53', '2_64', '2_65', '2_66', '2_68']
e;and;['0_4', '0_5', '0_6', '0_7', '0_9', '0_18', '0_19', '0_22', '0_23', '0_24', '0_25', '0_27', '0_36', '0_37', '0_40', '0_41', '0_42', '0_43', '0_44', '0_45', '0_54', '0_55', '0_56', '0_59', '0_61', '0_63', '0_66', '0_67', '0_68', '0_69', '1_1', '1_3', '1_7', '1_10', '1_11', '1_21', '1_23', '1_25', '1_26', '1_28', '2_4', '2_5', '2_10', '2_12', '2_20', '2_21', '2_27', '2_39', '2_41', '2_44', '2_50', '2_53', '2_56', '2_58', '2_59', '2_60', '2_61', '2_62', '2_63', '2_65', '2_68', '2_69']
un;a;['0_3', '0_5', '0_6', '0_21', '0_23', '0_39', '0_41', '0_42', '0_68', '1_2', '1_3', '1_9', '1_16', '1_20', '2_8', '2_18', '2_19', '2_22', '2_26', '2_28', '2_52', '2_53', '2_54', '2_55', '2_63']
in;in;['0_7', '0_69', '1_0', '1_28', '2_5', '2_12', '2_58', '2_67']
noi;we;[]
lattina;can (of soda);[]
fuori;out;['0_66', '1_15', '1_23']
altro;other;['2_22']
erano;were;['1_0', '1_1']
che / quale;which;[]
fare;to do/make;[]
loro;their;['0_68', '1_1', '1_5']
tempo;time;[]
se;if;['2_5', '2_29', '2_65']
volontà;will;[]
come;how;[]
detto;said;['0_4', '0_22']
un;an;['0_3', '0_5', '0_6', '0_21', '0_23', '0_39', '0_41', '0_42', '0_68', '1_2', '1_3', '1_9', '1_16', '1_20', '2_8', '2_18', '2_19', '2_22', '2_26', '2_28', '2_52', '2_53', '2_54', '2_55', '2_63']
ogni;each;[]
dire;tell;[]
fa;does;[]
fisso;set (unchanging);[]
tre;three;['0_0', '1_0', '1_4', '1_8', '1_21', '1_28']
desiderare;desire;[]
aria;air;[]
bene;well;[]
anche;also;['1_20', '2_50']
giocare;play;[]
piccolo;small;['1_5', '1_8', '1_12']
fine;end;['0_58', '2_25', '2_29']
mettere;put;[]
casa;home;['0_3', '0_4', '0_5', '0_6', '0_7', '0_9', '0_18', '0_19', '0_21', '0_22', '0_23', '0_24', '0_25', '0_27', '0_36', '0_37', '0_39', '0_40', '0_41', '0_42', '0_43', '0_45', '0_54', '0_57', '0_61', '0_66', '2_53', '2_55', '2_58', '2_64', '2_65', '2_66', '2_68']
leggere;read;[]
mano;hand;[]
portare;carry;[]
grande;large;['1_11', '1_18', '1_21', '1_27', '2_49']
compitare;spell (words);[]
aggiungere;add;[]
anche;even/also;['1_20', '2_50']
terra;land;['2_9']
qui;here;['2_21']
devo;I must;[]
grande;big;['1_11', '1_18', '1_21', '1_27', '2_49']
alto;high/tall;[]
tale;such;['2_63']
seguire;follow;[]
atto;an act;[]
perché;why;['2_35']
chiedere;ask;['2_53']
maschi;men;[]
cambiamento;a change;[]
è andato;he/she went;[]
luce;light;[]
tipo;kind (of thing);[]
spento;turned off;[]
bisogno;need;[]
casa;house;['0_3', '0_4', '0_5', '0_6', '0_7', '0_9', '0_18', '0_19', '0_21', '0_22', '0_23', '0_24', '0_25', '0_27', '0_36', '0_37', '0_39', '0_40', '0_41', '0_42', '0_43', '0_45', '0_54', '0_57', '0_61', '0_66', '2_53', '2_55', '2_58', '2_64', '2_65', '2_66', '2_68']
immagine;image;[]
provare;try;[]
noi;us;[]
di nuovo;again;[]
animale;animal;[]
punto;point;['2_52']
madre;mother;['0_19', '0_37', '0_67', '2_1', '2_5', '2_7', '2_12', '2_65', '2_68', '2_69']
mondo;world;['0_1']
vicino;near;[]
costruire;build;['0_3', '0_4', '0_6', '0_21', '0_22', '0_24', '0_39', '0_40', '0_42']
se stesso;himself;[]
terra;earth;['2_9']
padre;father;[]
qualsiasi;any;[]
nuovo;new;['1_15', '2_68']
lavoro;work;[]
parte;part;['1_1', '1_28']
prendere;take;['0_68']
ottenere;get;[]
posto;place;[]
fatto;made;[]
vivere;live;['0_69']
dove;where;['0_69', '2_0', '2_29']
dopo;after;['1_13', '1_18', '2_42']
indietro;back;[]
poco;little;[]
solo;only;['1_8']
turno;round;[]
uomo;man;['0_3', '0_21', '0_39']
anno;year;[]
è venuto;came;[]
spettacolo;show;[]
ogni;every;[]
buono;good;[]
me;me;['1_10', '1_17', '1_18']
dare;give;[]
il nostro;our;[]
sotto;under;['1_7', '2_69']
nome;name;[]
molto;very;['0_69', '1_19', '2_27']
attraverso;through;['0_13', '0_31', '2_56', '2_68']
solo;just;['1_8']
forma;form;[]
frase;sentence;[]
grande;great;['1_11', '1_18', '1_21', '1_27', '2_49']
pensare;think;[]
dire;say;[]
aiutare;help;[]
basso;low;[]
linea;line;[]
differire;differ;[]
turno;turn;[]
causa;cause;[]
molto;much;['0_69', '1_19', '2_27']
dire;mean;[]
prima;before;['2_29']
spostare;move;[]
diritto;right;[]
ragazzo;boy;[]
vecchio;old;[]
troppo;too;[]
stesso;same;[]
lei;she;['2_22', '2_50']
tutto;all;[]
ci;there;['1_1', '2_29', '2_65']
quando;when;['0_6', '0_24', '0_42', '2_4', '2_65', '2_66']
su;up;[]
uso;use;[]
il tuo;your;[]
modo;way;[]
circa;about;[]
molti;many;[]
allora;then;[]
loro;them;['0_68', '1_1', '1_5']
scrivere;write;[]
sarebbe;would;['1_12']
come;like;[]
così;so;['0_3', '0_21', '0_31', '0_39', '0_49', '0_58', '0_60', '0_68', '1_12', '2_10']
queste;these;[]
lei;her;['2_22', '2_50']
lungo;long;['0_3', '0_21', '0_31', '0_39', '0_63', '0_66', '2_6', '2_65']
rendere;make;[]
cosa;thing;[]
vedere;see;[]
lui;him;['1_11']
due;two;['0_67', '2_19', '2_39']
ha;has;[]
guardare;look;[]
di più;more;[]
giorno;day;['1_28', '2_1']
potuto;could;[]
andare;go;['0_2', '0_20', '0_38', '1_4', '2_64']
venire;come;[]
ha fatto;did;[]
numero;number;[]
suono;sound;['2_59']
no;no;[]
più;most;['0_58', '1_1', '1_5', '1_8', '1_11', '1_12', '1_16', '1_18', '1_19', '1_20', '1_21', '1_23', '1_27', '2_13', '2_62', '2_63', '2_65']
persone;people;[]
il mio;my;[]
oltre;over;[]
sapere;know;[]
acqua;water;['2_53']
di;than;['0_2', '0_3', '0_5', '0_6', '0_9', '0_20', '0_21', '0_23', '0_24', '0_27', '0_38', '0_39', '0_41', '0_42', '0_45', '0_58', '0_59', '0_60', '0_62', '0_63', '0_65', '0_67', '0_68', '1_0', '1_1', '1_2', '1_4', '1_5', '1_9', '1_15', '1_16', '1_18', '1_20', '2_0', '2_3', '2_8', '2_18', '2_22', '2_25', '2_37', '2_39', '2_44', '2_53', '2_59', '2_65', '2_67', '2_68']
chiamata;call;['2_0']
primo;first;['0_2', '1_5']
che;who;['0_3', '0_21', '0_37', '0_58', '0_68', '1_0', '1_1', '1_11', '1_12', '1_18', '2_15', '2_18', '2_26', '2_45', '2_47', '2_49', '2_50', '2_54', '2_56', '2_59', '2_63']
può;may;['0_3']
giù;down;['0_19', '0_37', '0_57', '0_66', '1_26']
lato;side;[]
stato;been;['1_12', '2_28']
ora;now;['0_65']
trovare;find;[]
testa;head;['1_25']
stare in piedi;stand;[]
proprio;own;[]
pagina;page;[]
dovrebbe;should;[]
paese;country;[]
fondare;found;[]
risposta;answer;[]
scuola;school;[]
crescere;grow;[]
studio;study;[]
ancora;still;['1_20', '1_23', '2_12', '2_29']
imparare;learn;[]
impianto;plant;[]
copertura;cover;[]
cibo;food;['0_1']
sole;sun;['2_65']
quattro;four;[]
fra;between;[]
stato;state;['1_12', '2_28']
mantenere;keep;[]
occhio;eye;[]
mai;never;['2_27', '2_69']
ultimo;last;[]
lasciare;let;[]
pensiero;thought;[]
città;city;[]
albero;tree;['2_19']
attraversare;cross;['1_2']
fattoria;farm;['1_0']
difficile;hard;[]
inizio;start;[]
forza;might;['1_26']
storia;story;[]
sega;saw;[]
lontano;far;['0_69']
mare;sea;[]
disegnare;draw;[]
sinistra;left;[]
tardi;late;[]
run;run;[]
non;don’t;['0_1', '0_37', '0_57', '0_58', '0_60', '2_4', '2_5', '2_22', '2_27', '2_63', '2_65', '2_66', '2_69']
mentre;while;['1_6']
stampa;press;[]
close;close;[]
notte;night;[]
reale;real;[]
vita;life;[]
pochi;few;[]
nord;north;['0_20']
libro;book;[]
portare;carry;[]
ha preso;took;[]
scienza;science;[]
mangiare;eat;['1_10', '1_17']
camera;room;[]
amico;friend;[]
ha iniziato;began;[]
idea;idea;[]
pesce;fish;[]
montagna;mountain;[]
stop;stop;[]
una volta;once;[]
base;base;[]
sentire;hear;[]
cavallo;horse;[]
taglio;cut;[]
sicuro;sure;['0_62', '1_28', '2_64', '2_70']
orologio;watch;[]
colore;color;[]
volto;face;[]
legno;wood;['0_23', '0_24', '0_27', '1_2']
principale;main;[]
aperto;open;[]
sembrare;seem;[]
insieme;together;[]
prossimo;next;['1_12']
bianco;white;[]
bambini;children;[]
inizio;begin;[]
ottenuto;got;[]
camminare;walk;[]
esempio;example;[]
alleviare;ease;[]
carta;paper;[]
gruppo;group;[]
sempre;always;['2_13', '2_69']
musica;music;[]
quelli;those;[]
entrambi;both;[]
marchio;mark;[]
spesso;often;[]
lettera;letter;[]
fino a quando;until;[]
miglio;mile;[]
fiume;river;['1_1', '1_26', '1_28']
auto;car;[]
piedi;feet;['1_0']
cura;care;[]
secondo;second;['0_20', '1_13', '1_16', '1_20']
abbastanza;enough;['0_1']
pianura;plain;[]
ragazza;girl;[]
solito;usual;[]
giovane;young;[]
pronto;ready;['1_3']
sopra;above;[]
mai;ever;['2_27', '2_69']
rosso;red;[]
elenco;list;[]
anche se;though;[]
sentire;feel;[]
Discussioni;talk;[]
uccello;bird;[]
presto;soon;['0_68', '2_7']
corpo;body;[]
cane;dog;[]
famiglia;family;[]
diretto;direct;[]
posa;pose;[]
lasciare;leave;[]
canzone;song;[]
misurare;measure;[]
porta;door;['0_9', '0_27', '0_45', '2_27', '2_32', '2_42']
prodotto;product;[]
nero;black;[]
breve;short;[]
numerale;numeral;[]
classe;class;[]
vento;wind;[]
domanda;question;[]
accadere;happen;[]
integrale;complete;[]
nave;ship;[]
area;area;[]
metà;half;[]
rock;rock;[]
ordine;order;[]
fuoco;fire;[]
sud;south;['0_2']
problema;problem;[]
pezzo;piece;[]
ha detto;told;[]
sapeva;knew;[]
passare;pass;['1_12', '1_20']
da;since;['1_7', '2_19', '2_21', '2_26', '2_35']
top;top;[]
tutto;whole;[]
re;king;[]
strada;street;['0_3', '0_21', '0_39', '0_66']
pollice;inch;[]
moltiplicare;multiply;[]
niente;nothing;[]
corso;course;[]
soggiornare;stay;[]
ruota;wheel;[]
completo;full;[]
vigore;force;[]
blu;blue;[]
oggetto;object;[]
decidere;decide;[]
superficie;surface;[]
profondità;deep;[]
luna;moon;[]
isola;island;[]
piede;foot;[]
sistema;system;[]
occupato;busy;[]
test;test;[]
record;record;[]
barca;boat;[]
comune;common;[]
oro;gold;[]
possibile;possible;['2_62']
